4.28152902e-01 9.71900822e-05 1.10855199e-05 9.78202476e-05 1.13569392e-01
5.70870536e-01 1.04188283e-04 7.93011835e-06 1.04489641e-04 7.59668689e-02
7.13588170e-01 1.06489546e-04 1.39627667e-05 1.07401035e-04 1.30374916e-01
8.56305804e-01 1.09365967e-04 8.82069409e-06 1.09721098e-04 8.04788062e-02
9.99023437e-01 1.00482596e-04 1.33136375e-05 1.01360767e-04 1.31729668e-01
1.14174107e+00 1.03750127e-04 1.40771171e-05 1.04700783e-04 1.34859335e-01
1.28445871e+00 1.15508650e-04 1.22289918e-05 1.16154193e-04 1.05477872e-01
1.42717634e+00 1.12546419e-04 9.66875857e-06 1.12960972e-04 8.56986578e-02
1.56989397e+00 1.11411775e-04 1.04288420e-05 1.11898813e-04 9.33343126e-02
1.71261161e+00 1.09049609e-04 1.39673795e-05 1.09940461e-04 1.27389209e-01
1.85532924e+00 1.05033962e-04 1.18983891e-05 1.05705746e-04 1.12800481e-01
1.99804687e+00 1.06319029e-04 2.16507211e-05 1.08501104e-04 2.00892321e-01
2.14076451e+00 1.00339438e-04 2.12226656e-05 1.02559273e-04 2.08436746e-01
2.28348214e+00 9.65891711e-05 2.03525225e-05 9.87101471e-05 2.07674273e-01
2.42619978e+00 1.06331334e-04 2.14513980e-05 1.08473569e-04 1.99069112e-01
