Time,Channel A,Channel B
(ms),(V),(mV)

-10.00538375,-0.49607840,-8.53907900
-10.00026375,0.00311289,-5.82598400
-9.99514375,0.47550890,-3.56608800
-9.99002375,0.48442030,-2.66274000
-9.98490375,0.48442030,-1.30619200
-9.97978375,0.47550890,-1.30619200
-9.97466375,0.47550890,2.30872500
-9.96954375,0.48442030,2.30872500
-9.96442375,0.48442030,3.21359900
-9.95930375,0.48442030,4.57014700
-9.95418375,0.48442030,5.92516900
-9.94906375,0.48442030,5.92516900
-9.94394375,0.48442030,6.37836800
-9.93882375,0.48442030,6.83004200
-9.93370375,0.48442030,7.28171600
-9.92858375,0.48442030,7.28171600
-9.92346375,0.48442030,7.73339000
-9.91834375,0.48442030,7.73339000
-9.91322375,0.48442030,7.73339000
-9.90810375,0.48442030,8.18659000
-9.90298375,0.48442030,8.63826400
-9.89786375,0.48442030,8.63826400
-9.89274375,0.48442030,8.18659000
-9.88762375,0.48442030,8.63826400
-9.88250375,0.48442030,8.18659000
-9.87738375,0.48442030,8.18659000
-9.87226375,0.47550890,8.18659000
-9.86714375,0.48442030,9.08993800
-9.86202375,0.48442030,9.08993800
-9.85690375,0.48442030,8.18659000
-9.85178375,0.48442030,8.18659000
-9.84666375,0.48442030,8.63826400
-9.84154375,0.48442030,8.63826400
-9.83642375,0.48442030,8.18659000
-9.83130375,0.48442030,8.63826400
-9.82618375,0.48442030,9.54161200
-9.82106375,0.48442030,8.63826400
-9.81594375,0.48442030,8.18659000
-9.81082375,0.48442030,8.18659000
-9.80570375,0.48442030,8.63826400
-9.80058375,0.48442030,8.63826400
-9.79546375,0.48442030,8.18659000
-9.79034375,0.48442030,8.63826400
-9.78522375,0.48442030,8.63826400
-9.78010375,0.48442030,8.63826400
-9.77498375,0.48442030,8.18659000
-9.76986375,0.48442030,8.18659000
-9.76474375,0.48442030,8.63826400
-9.75962375,0.48442030,8.18659000
-9.75450375,0.48442030,8.63826400
-9.74938375,0.48442030,8.63826400
-9.74426375,0.48442030,8.18659000
-9.73914375,0.48442030,8.63826400
-9.73402375,0.47550890,8.63826400
-9.72890375,0.48442030,9.54161200
-9.72378375,0.48442030,8.18659000
-9.71866375,0.48442030,8.63826400
-9.71354375,0.48442030,8.18659000
-9.70842375,0.48442030,8.18659000
-9.70330375,0.48442030,8.18659000
-9.69818375,0.48442030,8.63826400
-9.69306375,0.48442030,8.18659000
-9.68794375,0.48442030,8.18659000
-9.68282375,0.48442030,8.18659000
-9.67770375,0.48442030,9.08993800
-9.67258375,0.48442030,8.18659000
-9.66746375,0.48442030,8.18659000
-9.66234375,0.48442030,8.18659000
-9.65722375,0.48442030,7.73339000
-9.65210375,0.48442030,8.18659000
-9.64698375,0.48442030,8.63826400
-9.64186375,0.48442030,8.18659000
-9.63674375,0.48442030,8.18659000
-9.63162375,0.48442030,7.73339000
-9.62650375,0.48442030,8.18659000
-9.62138375,0.48442030,8.18659000
-9.61626375,0.48442030,8.18659000
-9.61114375,0.48442030,7.73339000
-9.60602375,0.48442030,8.18659000
-9.60090375,0.48442030,7.73339000
-9.59578375,0.48442030,7.73339000
-9.59066375,0.48442030,8.18659000
-9.58554375,0.48442030,8.18659000
-9.58042375,0.48442030,8.18659000
-9.57530375,0.48442030,7.28171600
-9.57018375,0.48442030,8.18659000
-9.56506375,0.48442030,7.73339000
-9.55994375,0.48442030,7.73339000
-9.55482376,0.48442030,7.73339000
-9.54970376,0.48442030,8.18659000
-9.54458376,0.48442030,7.73339000
-9.53946376,0.48442030,7.73339000
-9.53434376,0.48442030,7.28171600
-9.52922376,0.48442030,7.28171600
-9.52410376,0.48442030,7.73339000
-9.51898376,0.48442030,7.28171600
-9.51386376,0.48442030,8.18659000
-9.50874376,0.48442030,7.73339000
-9.50362376,0.48442030,7.73339000
-9.49850376,0.48442030,7.73339000
-9.49338376,0.48442030,7.73339000
-9.48826376,0.48442030,7.73339000
-9.48314376,0.48442030,7.73339000
-9.47802376,0.48442030,7.73339000
-9.47290376,0.48442030,7.73339000
-9.46778376,0.48442030,7.73339000
-9.46266376,0.48442030,7.28171600
-9.45754376,0.48442030,7.28171600
-9.45242376,0.48442030,7.28171600
-9.44730376,0.48442030,7.73339000
-9.44218376,0.48442030,7.73339000
-9.43706376,0.48442030,7.73339000
-9.43194376,0.47550890,7.28171600
-9.42682376,0.48442030,7.73339000
-9.42170376,0.48442030,7.28171600
-9.41658376,0.48442030,6.83004200
-9.41146376,0.48442030,7.28171600
-9.40634376,0.48442030,7.28171600
-9.40122376,0.48442030,6.37836800
-9.39610376,0.48442030,7.28171600
-9.39098376,0.48442030,7.28171600
-9.38586376,0.48442030,7.28171600
-9.38074376,0.48442030,7.28171600
-9.37562376,0.48442030,7.73339000
-9.37050376,0.48442030,7.28171600
-9.36538376,0.48442030,7.28171600
-9.36026376,0.48442030,6.83004200
-9.35514376,0.48442030,7.73339000
-9.35002376,0.48442030,7.28171600
-9.34490376,0.48442030,7.28171600
-9.33978376,0.48442030,7.28171600
-9.33466376,0.48442030,7.28171600
-9.32954376,0.48442030,6.37836800
-9.32442376,0.48442030,7.28171600
-9.31930376,0.48442030,7.28171600
-9.31418376,0.48442030,6.83004200
-9.30906376,0.48442030,7.28171600
-9.30394376,0.48442030,6.83004200
-9.29882376,0.48442030,6.83004200
-9.29370376,0.48442030,6.83004200
-9.28858376,0.48442030,6.83004200
-9.28346376,0.48442030,6.37836800
-9.27834376,0.48442030,6.83004200
-9.27322376,0.48442030,6.37836800
-9.26810376,0.48442030,6.37836800
-9.26298376,0.48442030,6.37836800
-9.25786376,0.48442030,6.37836800
-9.25274376,0.48442030,6.37836800
-9.24762376,0.48442030,6.37836800
-9.24250376,0.48442030,6.83004200
-9.23738376,0.48442030,6.83004200
-9.23226376,0.48442030,6.37836800
-9.22714376,0.48442030,6.37836800
-9.22202376,0.48442030,6.83004200
-9.21690376,0.48442030,6.37836800
-9.21178376,0.48442030,5.92516900
-9.20666376,0.48442030,6.37836800
-9.20154376,0.48442030,7.28171600
-9.19642376,0.48442030,6.37836800
-9.19130376,0.48442030,5.92516900
-9.18618376,0.48442030,6.37836800
-9.18106376,0.48442030,5.92516900
-9.17594376,0.48442030,5.92516900
-9.17082376,0.48442030,6.37836800
-9.16570376,0.48442030,5.92516900
-9.16058376,0.48442030,7.73339000
-9.15546376,0.48442030,6.37836800
-9.15034376,0.48442030,5.92516900
-9.14522376,0.48442030,5.92516900
-9.14010376,0.48442030,5.92516900
-9.13498376,0.48442030,5.92516900
-9.12986376,0.48442030,6.37836800
-9.12474376,0.48442030,5.92516900
-9.11962376,0.48442030,6.37836800
-9.11450376,0.48442030,5.92516900
-9.10938376,0.48442030,5.47349500
-9.10426376,0.48442030,5.92516900
-9.09914376,0.48442030,6.37836800
-9.09402376,0.48442030,6.37836800
-9.08890376,0.48442030,4.11694700
-9.08378376,0.48442030,5.92516900
-9.07866376,0.48442030,6.37836800
-9.07354376,0.48442030,5.92516900
-9.06842376,0.48442030,5.92516900
-9.06330376,0.48442030,5.92516900
-9.05818376,0.48442030,5.47349500
-9.05306376,0.48442030,5.92516900
-9.04794376,0.48442030,6.37836800
-9.04282376,0.48442030,5.47349500
-9.03770376,0.48442030,5.92516900
-9.03258376,0.48442030,5.47349500
-9.02746376,0.48442030,5.47349500
-9.02234376,0.48442030,5.47349500
-9.01722376,0.48442030,5.92516900
-9.01210376,0.48442030,5.47349500
-9.00698376,0.48442030,5.47349500
-9.00186376,0.48442030,5.02182100
-8.99674376,-0.49607840,0.95370340
-8.99162376,-0.49607840,0.05035554
-8.98650376,-0.49607840,-3.56608800
