Time,Channel A,Channel B
(ms),(V),(mV)

-10.00719424,-0.49607840,-8.53907900
-10.00207424,-0.49607840,-8.08740400
-9.99695424,0.43095190,-3.56608800
-9.99183424,0.47550890,-3.11441400
-9.98671424,0.48442030,-1.30619200
-9.98159424,0.46659750,-1.30619200
-9.97647424,0.48442030,0.95370340
-9.97135424,0.48442030,2.76192500
-9.96623424,0.48442030,3.66527300
-9.96111424,0.48442030,4.57014700
-9.95599424,0.47550890,5.92516900
-9.95087424,0.48442030,5.92516900
-9.94575424,0.48442030,7.28171600
-9.94063424,0.48442030,7.73339000
-9.93551424,0.48442030,7.73339000
-9.93039424,0.48442030,8.18659000
-9.92527424,0.48442030,8.18659000
-9.92015424,0.48442030,8.63826400
-9.91503424,0.48442030,8.63826400
-9.90991424,0.48442030,8.18659000
-9.90479424,0.47550890,8.63826400
-9.89967424,0.48442030,9.08993800
-9.89455424,0.48442030,9.54161200
-9.88943424,0.48442030,9.08993800
-9.88431424,0.48442030,9.54161200
-9.87919424,0.48442030,9.54161200
-9.87407424,0.48442030,9.54161200
-9.86895424,0.48442030,9.54161200
-9.86383424,0.48442030,9.08993800
-9.85871424,0.48442030,9.54161200
-9.85359424,0.48442030,9.54161200
-9.84847424,0.48442030,9.54161200
-9.84335424,0.47550890,9.54161200
-9.83823424,0.48442030,9.54161200
-9.83311424,0.48442030,9.54161200
-9.82799424,0.48442030,9.54161200
-9.82287424,0.48442030,9.99481200
-9.81775424,0.48442030,9.54161200
-9.81263424,0.48442030,9.54161200
-9.80751424,0.48442030,9.54161200
-9.80239424,0.48442030,9.54161200
-9.79727424,0.48442030,9.99481200
-9.79215424,0.48442030,9.08993800
-9.78703424,0.48442030,9.54161200
-9.78191424,0.48442030,9.54161200
-9.77679424,0.48442030,8.63826400
-9.77167424,0.48442030,9.54161200
-9.76655424,0.48442030,8.63826400
-9.76143424,0.48442030,9.54161200
-9.75631424,0.48442030,9.54161200
-9.75119424,0.48442030,9.54161200
-9.74607424,0.48442030,9.54161200
-9.74095424,0.48442030,9.54161200
-9.73583425,0.48442030,9.54161200
-9.73071425,0.48442030,8.63826400
-9.72559425,0.48442030,9.54161200
-9.72047425,0.48442030,9.54161200
-9.71535425,0.48442030,9.54161200
-9.71023425,0.48442030,9.54161200
-9.70511425,0.48442030,9.08993800
-9.69999425,0.48442030,9.54161200
-9.69487425,0.48442030,9.54161200
-9.68975425,0.48442030,9.54161200
-9.68463425,0.48442030,9.08993800
-9.67951425,0.48442030,10.89816000
-9.67439425,0.48442030,9.54161200
-9.66927425,0.48442030,8.63826400
-9.66415425,0.48442030,8.18659000
-9.65903425,0.48442030,9.08993800
-9.65391425,0.48442030,8.63826400
-9.64879425,0.48442030,9.54161200
-9.64367425,0.48442030,8.63826400
-9.63855425,0.48442030,8.63826400
-9.63343425,0.48442030,9.08993800
-9.62831425,0.48442030,8.63826400
-9.62319425,0.48442030,9.08993800
-9.61807425,0.48442030,9.08993800
-9.61295425,0.48442030,8.63826400
-9.60783425,0.48442030,9.54161200
-9.60271425,0.48442030,8.63826400
-9.59759425,0.48442030,8.63826400
-9.59247425,0.48442030,8.18659000
-9.58735425,0.48442030,8.63826400
-9.58223425,0.48442030,8.63826400
-9.57711425,0.48442030,8.63826400
-9.57199425,0.48442030,8.63826400
-9.56687425,0.48442030,9.08993800
-9.56175425,0.48442030,8.63826400
-9.55663425,0.48442030,8.18659000
-9.55151425,0.48442030,8.63826400
-9.54639425,0.48442030,8.18659000
-9.54127425,0.48442030,8.18659000
-9.53615425,0.48442030,9.54161200
-9.53103425,0.48442030,8.18659000
-9.52591425,0.48442030,8.18659000
-9.52079425,0.48442030,8.18659000
-9.51567425,0.48442030,8.18659000
-9.51055425,0.47550890,8.18659000
-9.50543425,0.48442030,8.18659000
-9.50031425,0.48442030,8.18659000
-9.49519425,0.48442030,8.18659000
-9.49007425,0.48442030,8.18659000
-9.48495425,0.48442030,8.18659000
-9.47983425,0.48442030,8.18659000
-9.47471425,0.48442030,8.18659000
-9.46959425,0.48442030,8.18659000
-9.46447425,0.48442030,8.18659000
-9.45935425,0.48442030,7.73339000
-9.45423425,0.48442030,8.18659000
-9.44911425,0.48442030,8.18659000
-9.44399425,0.48442030,7.73339000
-9.43887425,0.48442030,8.18659000
-9.43375425,0.48442030,8.18659000
-9.42863425,0.48442030,8.18659000
-9.42351425,0.48442030,7.73339000
-9.41839425,0.48442030,7.73339000
-9.41327425,0.48442030,8.18659000
-9.40815425,0.47550890,7.73339000
-9.40303425,0.48442030,8.18659000
-9.39791425,0.48442030,7.73339000
-9.39279425,0.48442030,7.73339000
-9.38767425,0.48442030,7.73339000
-9.38255425,0.48442030,8.18659000
-9.37743425,0.48442030,8.18659000
-9.37231425,0.48442030,7.73339000
-9.36719425,0.48442030,7.73339000
-9.36207425,0.48442030,7.28171600
-9.35695425,0.48442030,7.73339000
-9.35183425,0.48442030,7.73339000
-9.34671425,0.48442030,7.28171600
-9.34159425,0.48442030,7.73339000
-9.33647425,0.48442030,7.73339000
-9.33135425,0.48442030,7.28171600
-9.32623425,0.48442030,7.73339000
-9.32111425,0.48442030,7.73339000
-9.31599425,0.48442030,6.83004200
-9.31087425,0.48442030,7.73339000
-9.30575425,0.48442030,7.28171600
-9.30063425,0.48442030,7.28171600
-9.29551425,0.48442030,7.28171600
-9.29039425,0.48442030,7.73339000
-9.28527425,0.48442030,7.28171600
-9.28015425,0.48442030,7.28171600
-9.27503425,0.48442030,7.28171600
-9.26991425,0.48442030,7.28171600
-9.26479425,0.48442030,7.73339000
-9.25967425,0.48442030,7.28171600
-9.25455425,0.48442030,7.28171600
-9.24943425,0.48442030,7.28171600
-9.24431425,0.48442030,7.28171600
-9.23919425,0.48442030,7.73339000
-9.23407425,0.48442030,8.18659000
-9.22895425,0.48442030,7.28171600
-9.22383425,0.48442030,7.28171600
-9.21871425,0.48442030,6.37836800
-9.21359425,0.48442030,6.83004200
-9.20847425,0.48442030,7.28171600
-9.20335425,0.48442030,7.28171600
-9.19823425,0.48442030,6.37836800
-9.19311425,0.48442030,7.28171600
-9.18799425,0.48442030,6.37836800
-9.18287425,0.48442030,6.83004200
-9.17775425,0.48442030,6.37836800
-9.17263425,0.48442030,6.83004200
-9.16751425,0.48442030,7.28171600
-9.16239425,0.48442030,4.57014700
-9.15727425,0.48442030,6.83004200
-9.15215425,0.48442030,6.83004200
-9.14703425,0.48442030,5.92516900
-9.14191425,0.48442030,6.37836800
-9.13679425,0.48442030,6.83004200
-9.13167425,0.48442030,6.37836800
-9.12655425,0.48442030,6.83004200
-9.12143425,0.48442030,6.83004200
-9.11631425,0.48442030,6.83004200
-9.11119425,0.48442030,6.37836800
-9.10607425,0.48442030,6.83004200
-9.10095425,0.48442030,6.37836800
-9.09583425,0.48442030,6.83004200
-9.09071425,0.48442030,6.37836800
-9.08559425,0.48442030,5.92516900
-9.08047425,0.48442030,7.28171600
-9.07535425,0.48442030,6.37836800
-9.07023425,0.48442030,6.37836800
-9.06511425,0.48442030,7.28171600
-9.05999425,0.48442030,6.37836800
-9.05487425,0.48442030,6.37836800
-9.04975425,0.48442030,6.37836800
-9.04463425,0.48442030,5.92516900
-9.03951425,0.48442030,5.92516900
-9.03439425,0.48442030,6.37836800
-9.02927425,0.48442030,5.92516900
-9.02415425,0.48442030,5.92516900
-9.01903425,0.48442030,6.37836800
-9.01391425,0.48442030,5.92516900
-9.00879425,0.48442030,6.37836800
-9.00367425,0.48442030,5.92516900
-8.99855425,0.25266270,5.02182100
-8.99343425,-0.49607840,0.95370340
-8.98831425,-0.49607840,-0.40131840
