0	0	0	0	9.0191449524285E+21	1.59820431005903E+23	8.32562650965848E+23	1.98521340789432E+24	3.06087712944574E+24	3.80846329403881E+24	4.28210783175989E+24	4.5838818736565E+24	4.78497722458429E+24	4.92748715909117E+24	5.03642158380778E+24	5.12806249231514E+24	5.21515680823878E+24	5.31115895957742E+24	5.43642324851578E+24	5.63326365067622E+24	6.0148405155489E+24	6.9668483887982E+24	1.03657899912652E+25	0	0	0	0	0	1.04441499844397E+25	7.04633816149246E+24	6.11512755652643E+24	5.76253121652792E+24	5.60207713038012E+24	5.52234537826676E+24	5.48431916567048E+24	5.47276842219595E+24	5.48211677945557E+24	5.51201969015281E+24	5.56640112704788E+24	5.6544671103891E+24	5.79412472252512E+24	6.02050837444583E+24	6.40901124763265E+24	7.15033933848391E+24	8.87315720043812E+24	1.48009447046317E+25	6.24894886471475E+25	0	0	0	0
0	0	0	0	9.01914494866585E+21	1.59820430933965E+23	8.32562650651729E+23	1.98521340729446E+24	3.06087712866255E+24	3.80846329315452E+24	4.28210783081616E+24	4.58388187267529E+24	4.78497722357867E+24	4.92748715806824E+24	5.03642158277159E+24	5.12806249126736E+24	5.21515680717904E+24	5.31115895850354E+24	5.43642324742153E+24	5.63326364954644E+24	6.01484051433793E+24	6.96684838733453E+24	1.03657899886013E+25	0	0	0	0	0	1.04441499817832E+25	7.04633816003206E+24	6.1151275553161E+24	5.76253121539633E+24	5.60207712928139E+24	5.5223453771847E+24	5.48431916459806E+24	5.4727684211287E+24	5.48211677839077E+24	5.51201968908749E+24	5.56640112597953E+24	5.6544671093141E+24	5.79412472143925E+24	6.02050837334379E+24	6.40901124650661E+24	7.15033933732294E+24	8.87315719921909E+24	1.48009447032732E+25	6.24894886454586E+25	0	0	0	0
0	0	0	0	1.15502928163085E+22	1.97410197220283E+23	9.46496309993806E+23	2.11974689670708E+24	3.15966003858268E+24	3.86886162118423E+24	4.31759870177782E+24	4.60512806158955E+24	4.79818048500736E+24	4.93603340445442E+24	5.04217520957248E+24	5.13208187764697E+24	5.2180640862971E+24	5.31333256870114E+24	5.43810176834707E+24	5.63460575971055E+24	6.01596852450142E+24	6.96791646770757E+24	1.03673260168356E+25	0	0	0	0	0	1.04449613686676E+25	7.04662957580266E+24	6.11521614466709E+24	5.76243856077473E+24	5.60176430356552E+24	5.52173670015668E+24	5.48329324417588E+24	5.4711332310988E+24	5.47956384479911E+24	5.50804142326679E+24	5.56013851905058E+24	5.64442139711102E+24	5.77759594154819E+24	5.99247167326751E+24	6.35980548795878E+24	7.06071524253205E+24	8.70226479598817E+24	1.44446024373979E+25	6.16532625338521E+25	0	0	0	0
0	0	0	0	2.36695662043593E+22	3.22470116922643E+23	1.22944519249512E+24	2.40218111172354E+24	3.35160330514757E+24	3.98292275910447E+24	4.38423436837067E+24	4.64515899845977E+24	4.82322398331527E+24	4.95236262803292E+24	5.05324648768755E+24	5.13986703907676E+24	5.22372947759502E+24	5.31759221961229E+24	5.44140869619261E+24	5.63726346142206E+24	6.0182137802988E+24	6.97005446906078E+24	1.03704208789144E+25	0	0	0	0	0	1.0446634850968E+25	7.04724630070942E+24	6.11542870740619E+24	5.76229585752716E+24	5.60119366790511E+24	5.52059420160107E+24	5.48134811600727E+24	5.46802164809718E+24	5.47470357830852E+24	5.50047728114866E+24	5.54825446469339E+24	5.62538118556197E+24	5.74619348116383E+24	5.93858085963728E+24	6.2620936578606E+24	6.86867609302005E+24	8.27201151302821E+24	1.32008105723292E+25	5.58470025542329E+25	0	0	0	0
9.01668179516208E+21	9.01668179140109E+21	1.15475891144958E+22	2.36660119629988E+22	1.73893554838708E+23	7.49406100353417E+23	1.77735182380186E+24	2.82820932534671E+24	3.61488127384406E+24	4.13538984756347E+24	4.47348638467517E+24	4.69939447735798E+24	4.85761735996498E+24	4.97508530250273E+24	5.0688401174849E+24	5.15095382480032E+24	5.23187942094456E+24	5.32377751880231E+24	5.44625297047955E+24	5.64118974008126E+24	6.02155904175922E+24	6.97326967924804E+24	1.03751251738687E+25	0	0	0	0	0	1.04492745075598E+25	7.04825684653645E+24	6.11583582900524E+24	5.76218708118486E+24	5.60047239482611E+24	5.51906204893318E+24	5.47868713375913E+24	5.46373360345156E+24	5.46799732605932E+24	5.49006517003509E+24	5.531971981703E+24	5.59943622655481E+24	5.70355922610308E+24	5.86511002983587E+24	6.12529728164406E+24	6.57651661124549E+24	7.4666363604492E+24	9.63907181326756E+24	1.70684665857514E+25	5.58471588841377E+25	6.16534915502163E+25	6.24897498141227E+25	6.24897498141227E+25
1.59751375804648E+23	1.59751375732759E+23	1.97334738209763E+23	3.22378661173739E+23	7.4929861107767E+23	1.54270111181977E+24	2.490840768175E+24	3.31039627414001E+24	3.90284318957401E+24	4.303612173073E+24	4.57416644764212E+24	4.7620529232492E+24	4.89823371722399E+24	5.00244513898063E+24	5.08794138710163E+24	5.16474534802599E+24	5.24216084661397E+24	5.3316822486775E+24	5.4525196252662E+24	5.64632849173091E+24	6.02598889741084E+24	6.97758200306943E+24	1.0381527523547E+25	0	0	0	0	0	1.04530436897381E+25	7.04976618184169E+24	6.1165433726385E+24	5.76223570338218E+24	5.59975497296454E+24	5.51734395443357E+24	5.4755920774548E+24	5.45867721604287E+24	5.4600633704133E+24	5.47778481888031E+24	5.51291905648106E+24	5.56944686946563E+24	5.65511713970421E+24	5.78366135376801E+24	5.97968128809041E+24	6.28989622705768E+24	6.81092618246388E+24	7.76048683297749E+24	9.63922817549563E+24	1.32010962226883E+25	1.44449544763979E+25	1.48013256469175E+25	1.48013256469175E+25
8.32116082429475E+23	8.32116082115656E+23	9.46037243223011E+23	1.22896860838051E+24	1.77689228193643E+24	2.49053184439308E+24	3.19026468799872E+24	3.75759807435744E+24	4.17332069334635E+24	4.4673191765171E+24	4.67593795176667E+24	4.82757860050864E+24	4.94195946753618E+24	5.03264204588805E+24	5.10948761712352E+24	5.18060800265386E+24	5.25419763008792E+24	5.34108922570123E+24	5.46009248774718E+24	5.65263025563244E+24	6.03150166510625E+24	6.9830346937124E+24	1.03897706424907E+25	0	0	0	0	0	1.04581753473246E+25	7.05191945606582E+24	6.11769367476046E+24	5.76260333572517E+24	5.59923807781068E+24	5.51569181395541E+24	5.47240102229419E+24	5.45332737576798E+24	5.45159946927136E+24	5.46470867116493E+24	5.49282279231447E+24	5.53834084040059E+24	5.6061363004326E+24	5.70441218741648E+24	5.84635783049987E+24	6.05303387480126E+24	6.35789804478212E+24	6.81112954006705E+24	7.46699285909554E+24	8.27248013561907E+24	8.70279901032909E+24	8.87372142364497E+24	8.87372142364497E+24
1.98405193750453E+24	1.98405193690532E+24	2.11860206963943E+24	2.40108464792795E+24	2.82722750152296E+24	3.30963804118001E+24	3.7571748929775E+24	4.12353493884215E+24	4.4043101793328E+24	4.61431917758066E+24	4.77166376429872E+24	4.89171437972442E+24	4.98622715256365E+24	5.06411511952551E+24	5.13252705890651E+24	5.19796522248967E+24	5.267648649854E+24	5.35180810127765E+24	5.46888017141303E+24	5.66007125672207E+24	6.03812462642384E+24	6.98970891674711E+24	1.04000744963723E+25	0	0	0	0	0	1.04649887578801E+25	7.05490883569656E+24	6.11946915974312E+24	5.76349055953872E+24	5.59915752457876E+24	5.51439641309644E+24	5.46948844086813E+24	5.44818718691539E+24	5.44331011582684E+24	5.45186323695406E+24	5.4732355635295E+24	5.50854390453078E+24	5.56049386453732E+24	5.63351612656775E+24	5.73403109108782E+24	5.87060008751717E+24	6.05329693753592E+24	6.29036347455409E+24	6.57713680173526E+24	6.86940487269235E+24	7.06151120787976E+24	7.15116713977045E+24	7.15116713977045E+24
3.05897719875478E+24	3.05897719797261E+24	3.1578126460797E+24	3.34986891852916E+24	3.61333408250566E+24	3.90156899196207E+24	4.1724027078114E+24	4.40382045393536E+24	4.59145035860787E+24	4.7401537353007E+24	4.85771647450332E+24	4.9518523657185E+24	5.0292756409977E+24	5.09571687417937E+24	5.15633320181173E+24	5.21637345730879E+24	5.28225983101494E+24	5.36371247982968E+24	5.47884383599546E+24	5.66867536777756E+24	6.04593287129188E+24	6.99774299399795E+24	1.04127688643644E+25	0	0	0	0	0	1.04739157163826E+25	7.05898524727699E+24	6.12210016474409E+24	5.76514208836728E+24	5.59979013009743E+24	5.51378424862908E+24	5.46725389674632E+24	5.44376332477319E+24	5.4358598439101E+24	5.44014617103357E+24	5.45539560578909E+24	5.48177096256205E+24	5.52048492850708E+24	5.57362160857422E+24	5.64393042356845E+24	5.73436014308913E+24	5.84695147080702E+24	5.98048160408998E+24	6.12625303443941E+24	6.2631597312144E+24	6.36094139265219E+24	6.41018083494154E+24	6.41018083494154E+24
3.80590405626383E+24	3.80590405538069E+24	3.86637326706556E+24	3.98057799725097E+24	4.13326381070173E+24	4.30178045242564E+24	4.46585337400662E+24	4.6132843301067E+24	4.73960879577955E+24	4.84528906466483E+24	4.93315616043235E+24	5.00686144741776E+24	5.0701689156785E+24	5.12677582629775E+24	5.1804679024531E+24	5.23557575354886E+24	5.29790781134323E+24	5.37677560803252E+24	5.49002699382195E+24	5.67853989099872E+24	6.05507306974825E+24	7.00735819590466E+24	1.04283393648341E+25	0	0	0	0	0	1.04855408759121E+25	7.06447766824933E+24	6.1258794710024E+24	5.76785902995156E+24	5.60146374419149E+24	5.51422448869644E+24	5.46612455112131E+24	5.4405624051095E+24	5.42986228668512E+24	5.43031035057936E+24	5.4402221436185E+24	5.45909518745362E+24	5.48718021209841E+24	5.52519502845942E+24	5.57402142614925E+24	5.63424680623934E+24	5.70541070287927E+24	5.78487068889692E+24	5.8664791217777E+24	5.94006413314388E+24	5.99402808302755E+24	6.02210039391665E+24	6.02210039391665E+24
