# Pulse voltage, a1, b1, c1, a2, b2, c2, x_intersec 
-40,1.842143528647461863e-05,3.149909132155666075e-04,2.852090394097482339e-06,1.579646980342147610e-05,7.763079246195754742e-03,4.374033327069932573e-08,1.340830772717680440e-02
-35,1.685412147451201013e-05,3.256637611409640199e-04,2.041334765593536370e-06,1.389494803129264904e-05,8.840434156968847088e-03,4.282999388437158377e-08,1.714271604574853225e-02
-30,1.437547620463377241e-05,3.563744817717912571e-04,1.195924745569179603e-06,1.104734288041855434e-05,1.123504849574064740e-02,4.162956723707889098e-08,2.537660418611650121e-02
-25,1.273861698431761034e-05,3.486065445426939254e-04,8.680463685987453039e-07,8.181017964438827068e-06,1.278565030706856932e-02,3.862365276431622657e-08,2.926433254653029725e-02
-20,9.812056129224110555e-06,3.556538401820633988e-04,5.255765834121873728e-07,3.901720233333300131e-06,1.685453939010352412e-02,2.972334798891403870e-08,3.476910852355143827e-02
-15,7.551216366556695552e-06,3.654032963243988678e-04,2.951059302019870300e-07,1.359643241379383220e-06,2.604910358579128407e-02,5.320118419256069347e-09,4.026763041455195397e-02
-10,5.309390844653960015e-06,3.830683857181976966e-04,1.677026711109673518e-07,3.496035580691522427e-07,5.519728575855036706e-02,-2.436227116935066913e-08,3.306131211059781805e-02
