-1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -5.051196746791917352e-03 5.092196010816417429e-03 1.528174785380729574e-02 2.432494463452025690e-02 3.224789040110734306e-02 3.921877444652511341e-02 4.539663675901400158e-02 5.091198533945470034e-02 5.586859899042499050e-02 6.034872549896826144e-02 6.441799425642311117e-02 6.812933813188344623e-02 7.152596259075896801e-02 7.464355741595497806e-02 7.751194263105180837e-02 8.015630057991281199e-02 8.259810649940901861e-02 8.485583854905016932e-02 8.694552526358427513e-02 8.888117202136390504e-02 9.067509656981725952e-02 9.233819549536792515e-02 9.388015773804844755e-02 9.530963711108060565e-02 9.663439279680142990e-02 9.786140461153244874e-02 9.899696822822300069e-02 1.000467743538707294e-01 1.010159749647990823e-01 1.019092390264465936e-01 1.027307996081443103e-01 1.034844939063178232e-01 1.041737973818332857e-01 1.048018529770047141e-01 1.053714961889981316e-01 1.058852766270219209e-01 1.063454765617926068e-01 1.067541268805025506e-01 1.071130207836993586e-01 1.074237254981327550e-01 1.076875922286285175e-01 1.079057645300089269e-01 1.080791852450800616e-01 1.082086021252365443e-01 1.082945722250669152e-01 1.083374651404805378e-01 1.083374651404805378e-01
-1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -5.051196746791917352e-03 5.092196010816417429e-03 1.528174785380729574e-02 2.432494463452025690e-02 3.224789040110734306e-02 3.921877444652511341e-02 4.539663675901400158e-02 5.091198533945470034e-02 5.586859899042499050e-02 6.034872549896826144e-02 6.441799425642311117e-02 6.812933813188344623e-02 7.152596259075896801e-02 7.464355741595497806e-02 7.751194263105180837e-02 8.015630057991281199e-02 8.259810649940901861e-02 8.485583854905016932e-02 8.694552526358427513e-02 8.888117202136390504e-02 9.067509656981725952e-02 9.233819549536792515e-02 9.388015773804844755e-02 9.530963711108060565e-02 9.663439279680142990e-02 9.786140461153244874e-02 9.899696822822300069e-02 1.000467743538707294e-01 1.010159749647990823e-01 1.019092390264465936e-01 1.027307996081443103e-01 1.034844939063178232e-01 1.041737973818332857e-01 1.048018529770047141e-01 1.053714961889981316e-01 1.058852766270219209e-01 1.063454765617926068e-01 1.067541268805025506e-01 1.071130207836993586e-01 1.074237254981327550e-01 1.076875922286285175e-01 1.079057645300089269e-01 1.080791852450800616e-01 1.082086021252365443e-01 1.082945722250669152e-01 1.083374651404805378e-01 1.083374651404805378e-01
-1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -4.345716418334906982e-03 6.330122639221768058e-03 1.656278741414845060e-02 2.545787336993651090e-02 3.320111015546124700e-02 4.001190039808770471e-02 4.605915978051909609e-02 5.147072109112563187e-02 5.634508620524207589e-02 6.075958325642798197e-02 6.477591913900573872e-02 6.844405754855348301e-02 7.180499222448168128e-02 7.489276702609536096e-02 7.773596989733014273e-02 8.035885260932167096e-02 8.278218036930967694e-02 8.502388388420423215e-02 8.709956522038717064e-02 8.902289423073990460e-02 9.080592219277090760e-02 9.245933217829011008e-02 9.399264060775010254e-02 9.541436079844634044e-02 9.673213666784677423e-02 9.795285280962923169e-02 9.908272571932315309e-02 1.001273798686482114e-01 1.010919115141388352e-01 1.019809425064562014e-01 1.027986658917290769e-01 1.035488847290371717e-01 1.042350452622391593e-01 1.048602653602450918e-01 1.054273589630307234e-01 1.059388571303384596e-01 1.063970261779175058e-01 1.068038832960800516e-01 1.071612099725274547e-01 1.074705634821354200e-01 1.077332866578092213e-01 1.079505161163837601e-01 1.081231890800604528e-01 1.082520489056285062e-01 1.083376494095496523e-01 1.083803580559601354e-01 1.083803580559601354e-01
-1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -1.020714026751424162e-02 -2.068813527343210841e-03 9.366036720256071257e-03 1.931775563400685639e-02 2.775515223152361793e-02 3.508789917743979775e-02 4.156865704394668848e-02 4.735738968796129877e-02 5.256665381308264079e-02 5.728144155063207010e-02 6.156860218841372911e-02 6.548204149516419215e-02 6.906598069892440350e-02 7.235718173256194818e-02 7.538654856665574777e-02 7.818031732289430769e-02 8.076095959077819741e-02 8.314787848434937456e-02 8.535795139811698518e-02 8.740595750306873191e-02 8.930491748848745637e-02 9.106636579228727379e-02 9.270057041732360226e-02 9.421671171626894159e-02 9.562302880716226638e-02 9.692694026656552275e-02 9.813514423987085289e-02 9.925370197084951163e-02 1.002881078873183174e-01 1.012433487167109375e-01 1.021239535935699050e-01 1.029340367233391451e-01 1.036773338559238700e-01 1.043572335779028165e-01 1.049768042387683731e-01 1.055388171726041047e-01 1.060457667534470405e-01 1.064998877235228819e-01 1.069031701534370604e-01 1.072573723282597286e-01 1.075640318001371970e-01 1.078244748041545936e-01 1.080398241977219564e-01 1.082110060532152779e-01 1.083387550077331701e-01 1.084236184516089441e-01 1.084659596179162189e-01 1.084659596179162189e-01
-4.870204707672302208e-03 -4.870204707672302208e-03 -4.181382557703054725e-03 -1.947713098060849159e-03 6.227969992390050211e-03 1.535121984654169540e-02 2.371599955699588494e-02 3.116809016003600774e-02 3.782762469650469833e-02 4.381752080784299952e-02 4.923509520336179918e-02 5.415706353630961312e-02 5.864542404891449900e-02 6.275134245605365479e-02 6.651766395474470461e-02 6.998064201948969720e-02 7.317120544022816253e-02 7.611592818511263292e-02 7.883779123685573376e-02 8.135678994659167884e-02 8.369042257923833827e-02 8.585408572089266166e-02 8.786139590533176280e-02 8.972445242790375031e-02 9.145405307061818534e-02 9.305987198250030568e-02 9.455060703289315527e-02 9.593410244742260617e-02 9.721745135143769478e-02 9.840708191249553094e-02 9.950883003694305229e-02 1.005280009931227569e-01 1.014694218718756868e-01 1.023374864278330798e-01 1.031361935521943468e-01 1.038691803934775476e-01 1.045397509547417586e-01 1.051509008443838461e-01 1.057053387352332313e-01 1.062055049873863455e-01 1.066535878093538836e-01 1.070515372659500142e-01 1.074010773870019142e-01 1.077037165860640494e-01 1.079607565610154196e-01 1.081732998171997806e-01 1.083422559274112296e-01 1.084683466205458441e-01 1.085521097713026961e-01 1.085939023462455938e-01 1.085939023462455938e-01
5.677713662953533247e-03 5.677713662953533247e-03 6.874961659352148147e-03 9.819948444086517778e-03 1.563932494857488836e-02 2.236666232561411796e-02 2.905758050279816027e-02 3.537678471718293943e-02 4.123730844482082630e-02 4.663873730243771332e-02 5.160840972339029303e-02 5.618108135425120553e-02 6.039184867793159772e-02 6.427367963447182253e-02 6.785662984851409396e-02 7.116771798411779260e-02 7.423106982378950558e-02 7.706816749675224343e-02 7.969812949286714243e-02 8.213798637953881321e-02 8.440293616516546249e-02 8.650657300093089752e-02 8.846108796951045183e-02 9.027744324722740410e-02 9.196552207983244021e-02 9.353425740921864073e-02 9.499174198543408609e-02 9.634532259825179246e-02 9.760168077932253328e-02 9.876690202178695088e-02 9.984653527136190532e-02 1.008456441764121747e-01 1.017688513498950786e-01 1.026203766937521106e-01 1.034040706641882190e-01 1.041234432111114161e-01 1.047816890032647053e-01 1.053817094488544853e-01 1.059261319366216342e-01 1.064173266515748700e-01 1.068574212606203805e-01 1.072483137140715082e-01 1.075916833677986323e-01 1.078890005961666843e-01 1.081415350367087164e-01 1.083503625827161032e-01 1.085163712187496438e-01 1.086402657758021723e-01 1.087225716668763636e-01 1.087636376495838830e-01 1.087636376495838830e-01
1.636763516686470105e-02 1.636763516686470105e-02 1.759065957584894299e-02 2.022276868025763008e-02 2.441921030022433173e-02 2.945976830207827635e-02 3.477633647269139788e-02 4.004482254381342560e-02 4.510616249209126877e-02 4.989171841293946891e-02 5.437872588795565620e-02 5.856700356605595154e-02 6.246720968270135649e-02 6.609489755625534702e-02 6.946745782083782461e-02 7.260253024472350381e-02 7.551718837410022200e-02 7.822754248528124288e-02 8.074857285836478660e-02 8.309408991357554453e-02 8.527676270099986133e-02 8.730818214820242062e-02 8.919893972460048170e-02 9.095871051171294797e-02 9.259633459231678132e-02 9.411989358916011961e-02 9.553678090142619928e-02 9.685376518088237296e-02 9.807704714586930328e-02 9.921231012402433047e-02 1.002647648503628974e-01 1.012391890913272030e-01 1.021399626575993924e-01 1.029710983331517671e-01 1.037362691997556763e-01 1.044388327835763935e-01 1.050818523984131253e-01 1.056681160112101364e-01 1.062001529108869691e-01 1.066802484217346247e-01 1.071104568675453339e-01 1.074926129619813153e-01 1.078283417740191347e-01 1.081190673941603841e-01 1.083660204070019950e-01 1.085702442582717892e-01 1.087326005891348507e-01 1.088537735971027570e-01 1.089342734708826504e-01 1.089744389356957083e-01 1.089744389356957083e-01
2.597719237920819574e-02 2.597719237920819574e-02 2.704133267343354977e-02 2.919674559504943298e-02 3.238682815660679642e-02 3.628244530593115191e-02 4.054401874962047098e-02 4.492012198796482142e-02 4.925081521652326794e-02 5.344324972110361949e-02 5.744777204932923625e-02 6.124099736129551969e-02 6.481508893293122520e-02 6.817124308728733650e-02 7.131577363391961022e-02 7.425775679987896283e-02 7.700761094264695072e-02 7.957624121194951938e-02 8.197452954177847362e-02 8.421303771544347283e-02 8.630184257710216134e-02 8.825045316632590398e-02 9.006777826902506723e-02 9.176212448275715416e-02 9.334121218861293756e-02 9.481220145373139840e-02 9.618172285028164792e-02 9.745591007803673655e-02 9.864043249930350143e-02 9.974052647813468064e-02 1.007610249147956188e-01 1.017063846809926481e-01 1.025807118560826403e-01 1.033877847815597717e-01 1.041310750181670131e-01 1.048137663250866825e-01 1.054387717956631887e-01 1.060087492867485409e-01 1.065261152740444722e-01 1.069930572569948030e-01 1.074115448259091166e-01 1.077833394923537330e-01 1.081100033722010439e-01 1.083929067995186707e-01 1.086332349389324825e-01 1.088319934542997941e-01 1.089900132824810214e-01 1.091079545526572186e-01 1.091863096839217062e-01 1.092254056866866080e-01 1.092254056866866080e-01
3.453632369711581718e-02 3.453632369711581718e-02 3.541423822469611654e-02 3.714790216349318774e-02 3.965232147479438168e-02 4.273986098983995063e-02 4.619728977718757373e-02 4.984084944386774768e-02 5.353372917427972472e-02 5.718269353278877809e-02 6.072811526740062860e-02 6.413412490167197388e-02 6.738090560101790694e-02 7.045921222613864277e-02 7.336663682771800421e-02 7.610511237826542152e-02 7.867925738469973285e-02 8.109528187813354327e-02 8.336026638139970579e-02 8.548168882936270363e-02 8.746711672568588392e-02 8.932400967102190059e-02 9.105959570246575929e-02 9.268079696172802640e-02 9.419418822569788907e-02 9.560597718692338820e-02 9.692199896798586733e-02 9.814771978173418565e-02 9.928824629522893519e-02 1.003483383744719626e-01 1.013324236497497588e-01 1.022446128618235417e-01 1.030887153042379378e-01 1.038682539188973269e-01 1.045864797663266649e-01 1.052463857030015298e-01 1.058507191724663288e-01 1.064019940661388441e-01 1.069025016416106505e-01 1.073543205063546835e-01 1.077593256868066007e-01 1.081191968093878075e-01 1.084354254229773773e-01 1.087093214928457896e-01 1.089420190949749040e-01 1.091344813375794975e-01 1.092875045338979750e-01 1.094017216471894066e-01 1.094776050255263505e-01 1.095154684405083984e-01 1.095154684405083984e-01
4.221882619309328538e-02 4.221882619309328538e-02 4.293264013889108027e-02 4.432935175821608315e-02 4.633504523382288992e-02 4.882746885707630463e-02 5.166444542058871991e-02 5.471225942265381392e-02 5.786055889654189571e-02 6.102568002373520706e-02 6.414787059319083939e-02 6.718648137793505060e-02 7.011519634347682106e-02 7.291806338858068670e-02 7.558644907258764423e-02 7.811679850080456566e-02 8.050902433979399697e-02 8.276536253452769498e-02 8.488956527636798421e-02 8.688633449496724337e-02 8.876092582530331621e-02 9.051887308965804457e-02 9.216579790813730910e-02 9.370727943604191534e-02 9.514876656557859358e-02 9.649552010033117522e-02 9.775257605305810726e-02 9.892472378573996528e-02 1.000164945254619492e-01 1.010321570748312220e-01 1.019757184479655049e-01 1.028509278123722337e-01 1.036612825802075283e-01 1.044100358235247189e-01 1.051002044253014217e-01 1.057345775481878802e-01 1.063157251251237168e-01 1.068460061637924313e-01 1.073275767199676628e-01 1.077623974400702539e-01 1.081522406056388969e-01 1.084986966354779953e-01 1.088031800175396913e-01 1.090669346539773349e-01 1.092910386106072107e-01 1.094764082672110006e-01 1.096238018684076859e-01 1.097338224767420295e-01 1.098069203305518521e-01 1.098433946093783503e-01 1.098433946093783503e-01
